,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
79,3268b84f89a85e3dd1c64611e6c989076e0dc768,2017-06-12 23:12:07+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
80,de20057ccbd3b8c94d64ff5d8deb14cab232d08a,2017-06-12 23:52:56+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
81,c86d9e1026250c7fa0d69d20319854d9f6101b16,2017-06-13 00:53:16+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
82,b83972f9633e865c1f7ddbfd2d03919ca7c40ae3,2017-06-13 08:34:28+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
83,0d9311624754fbc3e0b8f4a28be576e48783bf81,2017-06-13 09:49:19+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
84,b64a46caed20acee92d9157dc9d3d939e24cbf4a,2017-06-13 11:05:54+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
85,a4270596d7c8ce3b47fe164755181df7b22ac5de,2017-06-13 11:40:22+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
86,edc46ce3e44147d5fe1b3071ba1e020846b60b13,2017-06-13 12:01:25+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
87,ff6864b8a8944f75dff65fa469c93067389cad38,2017-06-13 12:19:32+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
88,c61ede30e80ad83e3d26e50ec27b5daa8d8f2ed8,2017-06-14 02:56:08+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
89,7afa087734496ccdcbea8f1ba9f38d7fb5370e56,2017-06-15 10:46:51+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
90,17b9ec186ae7f247728cc5c499e61ccd7670b1de,2017-07-31 22:12:22+02:00,SQL_INJECTION,,,,
91,9770c57fab0315865a33c8b6df269eded0d57b5c,2017-08-08 16:50:54+02:00,SQL_INJECTION,,,,
92,4d016171baf58e22ef723da38cea3a19dbc85523,2017-08-08 19:46:41+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
