,git_hash,commit_date,filename_list,cve_data,cwe_group,published_date,severity,impact_score
257,937ac1fe069a4dc8471dff205f553d82e724015b,2018-03-11 19:29:05+01:00,".hgtags,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,config.guess,config.sub,configure,configure.ac,setup.py,pyconfig.h.in,install-sh,.gitignore,.hgignore,.gitattributes,.hgeol,.bzrignore",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
258,b220f08e4928883e499827b2c88bf4fdb6d1385e,2018-03-25 12:05:46+02:00,"LICENSE,.travis.yml,.gitignore,.gitattributes,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README.rst,Makefile.pre.in",CVE-2018-8970,CWE-295,2018-03-24T21:29Z,MEDIUM,5.2
259,d02ac25ab0879f1a6de6937573bf00a16b7bd22e,2018-03-25 12:36:13+02:00,".gitattributes,.gitignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py",CVE-2018-8970,CWE-295,2018-03-24T21:29Z,MEDIUM,5.2
260,0cb96681569d6c7c9a66ff5353f8d065ee5d3689,2018-03-25 12:37:21+02:00,"setup.py,.gitignore,.gitattributes,Makefile.pre.in,.travis.yml,LICENSE,README.rst,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in",CVE-2018-8970,CWE-295,2018-03-24T21:29Z,MEDIUM,5.2
261,2dd885eaa0d427e84892673c83d697bca5427c8b,2018-03-25 13:28:20+02:00,".travis.yml,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README.rst,Makefile.pre.in,LICENSE,.gitignore,.gitattributes",CVE-2018-8970,CWE-295,2018-03-24T21:29Z,MEDIUM,5.2
262,89410a0f8700824844eeca6af132538d56141a37,2018-03-26 23:02:27+02:00,"LICENSE.python,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig,setup.cfg,setup.py,tox.ini,MANIFEST.in,README.rst,package.json",SQL_INJECTION,,,,
263,0338aa69f000b43a9d94232d42b0e1e5f170be46,2018-03-27 19:22:33+02:00,"INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig,LICENSE.python,LICENSE,tox.ini,setup.py,setup.cfg,package.json,README.rst,MANIFEST.in",SQL_INJECTION,,,,
264,d6eaee092709aad477a9894598496c6deec532ff,2018-07-25 18:13:03+02:00,"setup.py,.editorconfig,tox.ini,.eslintignore,.eslintrc,.gitattributes,.gitignore,.hgignore,AUTHORS,CONTRIBUTING.rst,Gruntfile.js,INSTALL,LICENSE,LICENSE.python,MANIFEST.in,README.rst,package.json,setup.cfg",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
265,6fffc3c6d420e44f4029d5643f38d00a39b08525,2018-07-31 16:37:29+02:00,"LICENSE,.editorconfig,.eslintignore,.eslintrc,.gitattributes,.gitignore,.hgignore,AUTHORS,CONTRIBUTING.rst,Gruntfile.js,INSTALL,LICENSE.python,MANIFEST.in,README.rst,package.json,setup.cfg,setup.py,tox.ini",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
266,a656a681272f8f3734b6eb38e9a88aa0d91806f1,2018-08-01 15:28:42+02:00,"tox.ini,setup.py,setup.cfg,package.json,README.rst,MANIFEST.in,LICENSE.python,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
267,c4e5ff7fdb5fce447675e90291fd33fddd052b3c,2018-08-01 15:35:09+02:00,".hgignore,tox.ini,setup.py,setup.cfg,package.json,README.rst,MANIFEST.in,LICENSE.python,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
268,0006538e53bf11d1de26801b13b78807354de2c8,2018-08-01 16:51:24+02:00,"setup.cfg,setup.py,tox.ini,INSTALL,LICENSE,LICENSE.python,MANIFEST.in,README.rst,package.json,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
269,3dc02de7618c3e5b058f6b6aff22c55c818584ca,2018-08-01 17:07:18+02:00,".editorconfig,tox.ini,setup.py,setup.cfg,package.json,README.rst,MANIFEST.in,LICENSE.python,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
270,e7dffda16729e79194813427c775c94f141f127c,2018-08-01 17:07:28+02:00,"package.json,setup.cfg,setup.py,tox.ini,.editorconfig,.eslintignore,.eslintrc,.gitattributes,.gitignore,.hgignore,AUTHORS,CONTRIBUTING.rst,Gruntfile.js,INSTALL,LICENSE,LICENSE.python,MANIFEST.in,README.rst",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
271,98c77c5a700eed4bd314a40ab70904db0c0adac6,2018-08-01 17:07:37+02:00,"tox.ini,LICENSE.python,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig,package.json,README.rst,setup.cfg,MANIFEST.in,setup.py",CVE-2018-14574,CWE-601,2018-08-03T17:29Z,MEDIUM,2.7
